Country,University,Length of TT (years)
Canada,University of Ottawa,6
Canada,University of Toronto,6
Canada,University of Waterloo,6
Canada,Dalhousie University,4
Canada,McGill University,5
Canada,Queen's University,5
Canada,York University,5
Canada,University of Manitoba,4
Canada,University of Saskatchewan,4
Canada,University of Alberta,4
Canada,University of British Columbia,7
United States,National Average,5.7
Belgium,KU Leuven,5
Finland,Helsinki,8
Germany,Freiburg,6
Germany,LMU Munich,4.5
Germany,Heidelberg,6
Italy,Milan,3
Italy,University of Bologna,6
Italy,University of Padua,3
The Netherlands,Amsterdam,5
The Netherlands,Leiden,6
The Netherlands,Utrecht,6
Sweden,Lund,6
Switzerland,Geneve,6
Switzerland,University of Zurich,6
Switzerland,ETH Zurich,6
Spain,UPF Barcelona,6
Denmark,University of Copenhagen,6
Ireland,Trinity College Dublin,5
Ireland,University of Limerick,5
Austria,University of Vienna,6
Portugal,Tecnico Lisboa,5